Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,area_comfort
126000.0,2.0,1658.0,15.0,32.0,2020.0,76.0,41.0,14.0,Микільсько-Слобідська,21.0
80000.0,2.0,1067.0,6.0,26.0,1996.3073852295408,75.0,27.0,21.0,Правди,27.0
98000.0,1.0,1750.0,9.55521472392638,17.624233128834355,2018.0,56.0,22.0,19.0,Тимошенка,15.0
150000.0,2.0,1807.0,16.0,23.0,2003.0,83.0,42.613882863340564,15.907786885245901,Павла Тичини,24.478330251413535
100000.0,3.0,1000.0,8.0,17.0,2003.0,100.0,64.0,14.0,Олевська,22.0
120000.0,3.0,1237.0,2.0,21.0,2016.0,97.0,52.0,20.0,Освіти,25.0
41000.0,1.0,1464.0,9.0,9.0,1969.0,28.0,17.0,5.0,Іллєнка,6.0
135000.0,1.0,1552.0,15.0,22.0,2012.0,87.0,15.0,40.0,Дніпровська,32.0
155000.0,3.0,1742.0,4.0,4.0,1917.0,89.0,42.613882863340564,13.0,Івана Мазепи,33.386117136659436
90000.0,3.0,1286.0,5.0,16.0,1974.0,70.0,46.0,7.0,Українки,17.0
132000.0,2.0,1347.0,1.0,6.0,2016.0,98.0,32.0,18.0,Данченка,48.0
230000.0,2.236607142857143,4600.0,9.55521472392638,17.624233128834355,1996.3073852295408,50.0,42.613882863340564,15.907786885245901,Драгомирова,8.521669748586465
185000.0,3.0,2011.0,18.0,25.0,2017.0,92.0,42.613882863340564,15.907786885245901,Тбіліський,33.47833025141354
70500.0,2.0,1203.0,20.0,26.0,2020.0,80.16498316498317,28.0,15.907786885245901,Каховська,36.25719627973727
87000.0,3.0,915.0,9.0,19.0,2019.0,80.16498316498317,52.0,15.907786885245901,Ушинського,12.257196279737268
185000.0,3.0,1637.0,8.0,24.0,2007.0,113.0,42.613882863340564,15.907786885245901,Урлівська,54.47833025141354
49860.0,2.0,997.0,2.0,9.0,1974.0,50.0,30.0,6.0,Світлицького,14.0
100000.0,2.0,1408.0,15.0,23.0,2007.0,71.0,30.0,12.0,Дніпровська,29.0
90000.0,1.0,1800.0,3.0,25.0,1996.3073852295408,50.0,25.0,15.907786885245901,Липківського,9.092213114754099
152000.0,2.0,1949.0,14.0,30.0,2020.0,78.0,37.0,12.0,Микільсько-Слобідська,29.0
159900.0,3.0,1259.0,15.0,25.0,2007.0,127.0,77.0,15.907786885245901,Лобановського,34.0922131147541
280000.0,3.0,2137.0,8.0,9.0,2005.0,131.0,75.0,25.0,Героїв Сталінграда,31.0
85000.0,1.0,1545.0,6.0,25.0,2007.0,55.0,24.0,13.0,Дніпровська,18.0
67000.0,2.0,1098.0,13.0,15.0,1994.0,61.0,31.0,9.0,Драгоманова,21.0
59000.0,1.0,1224.0,16.0,25.0,2010.0,80.16498316498317,42.613882863340564,15.907786885245901,Ахматової,21.643313416396705
